Iter,Best_MSE_K,Best_VC_K
0,25,25
1,17,17
2,25,25
3,21,21
4,23,23
5,15,15
6,25,25
7,25,25
8,25,25
9,23,23
10,25,25
11,25,25
12,17,17
13,25,25
14,25,25
15,25,25
16,25,25
17,17,17
18,17,17
19,21,21
20,25,25
21,17,17
22,25,25
23,25,25
24,25,25
25,17,17
26,23,23
27,23,23
28,21,21
29,21,21
30,23,23
31,25,25
32,23,23
33,25,25
34,25,25
35,23,23
36,25,25
37,25,25
38,21,21
39,21,21
40,23,23
41,25,25
42,19,19
43,19,19
44,19,19
45,15,15
46,19,19
47,21,21
48,25,25
49,19,19
50,25,25
51,25,25
52,25,25
53,19,21
54,21,21
55,21,21
56,25,25
57,25,25
58,15,15
59,25,25
60,25,25
61,25,25
62,19,19
63,21,21
64,25,25
65,25,25
66,25,25
67,25,25
68,15,15
69,23,23
70,21,21
71,25,25
72,15,15
73,25,25
74,17,17
75,25,25
76,25,25
77,25,25
78,25,25
79,25,25
80,23,23
81,21,21
82,11,11
83,25,25
84,25,25
85,17,23
86,25,25
87,19,19
88,25,25
89,25,25
90,25,25
91,9,25
92,25,25
93,25,25
94,23,23
95,25,25
96,25,25
97,25,25
98,25,25
99,15,23
